frame,title,description
storyboard_f01.png,Embers Establishing,Dead fire ring; pulsing coals; fog rows; phone face-down faint glow
storyboard_f02.png,First Relight  Time Pop,Match strike; whoosh; subtle refractive ripple
storyboard_f03.png,Battery Persists,Phone OTS: 12:00 AM; battery unchanged from prior loop
storyboard_f04.png,Marker Persists,Stone stack by birch; stones identical; leaf positions shift
storyboard_f05.png,Loop Montage Beat,Relightdouserelight rhythm; props drift each cycle
storyboard_f06.png,Missing Chair,"Camp wide with obviously empty chair; everyone feels ""complete"""
storyboard_f07.png,Live Photo Silhouette,Phone OTS playing Live Photo; silhouette appears only during motion
storyboard_f08.png,Darkness Choice,Phones as only light; coals buried; breath visible
storyboard_f09.png,Near-Ignition Flicker,Macro coal almost catches; fingers resist
storyboard_f10.png,Dawn Button,Blue-to-warm gradient through trees; hand pockets faint glowing coal
